,Date,Open,High,Low,Close,Adj Close,Volume,datetime,adj,Adj Open,Adj High,Adj Low,movement,20_Day_moving_av,20_Day_stddev,126_Day_moving_av,momentum_factor,daily_spread,vol_change,Target-future_week_gain,Bollinger_upper,Bollinger_lower,_bollinger_linear_metric,_bollinger_buy_flag,_bollinger_sell_flag,Exp_mav_sh,Exp_mav_med,Exp_mav_lon,Exp_mav-signal,CMFV,CMFV-rolling,CMFV-signal,MACD,MACD-signal,_MACD_range,MACD_finta,MACD-signal_finta,rel_strength_ind,awesome_oscil,DEMA,TEMA,TRIX,TRIX-signal,TRIMA,VAMA,kaufman_eff,Kaufman_AMA,ZLEMA,WMA,HMA,EVWMA,PPO,PPO_signal,PPO_histo
0,2015-03-31,0.555,0.595,0.53,0.565,0.565,4816294,2015-03-31,0.0,0.555,0.595,0.53,0.0,,,,,0.11504424778761053,,-0.053097345132743216,,,,False,False,0.565,0.565,0.565,0.0,370484.15384614625,,,,,,MACD,SIGNAL,,,0.565,0.565,,,,,,,,,,0.0,PPO,SIGNAL,HISTO
1,2015-04-01,0.575,0.58,0.555,0.565,0.565,4376660,2015-04-01,0.0,0.575,0.58,0.555,0.018018018018017834,,,,,0.044247787610619316,,-0.053097345132743216,,,,False,False,0.565,0.565,0.565,0.0,-875332.0000000233,,,,,,MACD,SIGNAL,,,0.565,0.565,0.0,,,,,,,,,0.0,PPO,SIGNAL,HISTO
2,2015-04-02,0.56,0.565,0.535,0.555,0.555,2779640,2015-04-02,0.0,0.56,0.565,0.535,0.018348623853211024,,,,,0.0540540540540539,,-0.02702702702702705,,,,False,False,0.5598979591836735,0.5609016393442622,0.5611799660441427,-1.0,926546.6666666804,,,,,,MACD,SIGNAL,0.0,,0.5584829346949743,0.5570555024429356,-0.08770392399679312,1.8,,,,,,,,0.0,PPO,SIGNAL,HISTO
3,2015-04-07,0.545,0.55,0.54,0.545,0.545,392179,2015-04-07,0.0,0.545,0.55,0.54,0.009259259259259267,,,,,0.018348623853211024,,-0.009174311926605512,,,,False,False,0.5530514705882353,0.5555149051490514,0.5562300580130529,-1.0,0.0,,,,,,MACD,SIGNAL,0.0,,0.5503535851543152,0.5475961553066543,-0.14774376100186795,1.654352278495272,,,,,,,,0.0,PPO,SIGNAL,HISTO
4,2015-04-08,0.545,0.545,0.53,0.54,0.54,668446,2015-04-08,0.0,0.545,0.545,0.53,0.009345794392523372,,,,,0.0277777777777778,,0.0,,,,False,False,0.5473907009021513,0.5508995716325559,0.5519956607108808,-1.0,222815.3333333333,,,,,,MACD,SIGNAL,0.0,,0.5440312515075783,0.5408948885150111,-0.1820680054734993,1.5080654206701796,,,,,,,,0.0,PPO,SIGNAL,HISTO
5,2015-04-09,0.54,0.54,0.532,0.535,0.535,706846,2015-04-09,0.0,0.54,0.54,0.532,0.0,,,,,0.014953271028037396,,-0.009345794392523372,,,,False,False,0.5421918635875403,0.5465899037210513,0.548063167827983,-1.0,-176711.5,,,,,,MACD,SIGNAL,0.0,,0.5384417719265681,0.5352226261324781,-0.2042615346372048,1.403103291811067,,,,,,,,0.0,PPO,SIGNAL,HISTO
6,2015-04-10,0.53,0.535,0.53,0.535,0.535,175104,2015-04-10,0.0,0.53,0.535,0.53,-0.009259259259259267,,,,,0.009345794392523372,,0.009345794392523372,,,,False,False,0.5392322684295083,0.5436568082797493,0.54531048139494,-1.0,175104.0,,,,,,MACD,SIGNAL,0.0,,0.535379944037099,0.532879324464693,-0.21464590906401868,1.3064304010463486,,,,,,,,0.0,PPO,SIGNAL,HISTO
7,2015-04-13,0.535,0.54,0.53,0.54,0.54,565808,2015-04-13,0.0,0.535,0.54,0.53,0.0,,,,,0.018518518518518535,,-0.03703703703703707,,,,False,False,0.5395446071488087,0.5427780084838305,0.5442718294318183,-1.0,565808.0,,,,,,MACD,SIGNAL,18.0813631757768,,0.5358226226860301,0.5349268513451796,-0.21271180442193546,1.204815236174239,,,,,,,,0.0,PPO,SIGNAL,HISTO
8,2015-04-14,0.54,0.54,0.535,0.54,0.54,371393,2015-04-14,0.0,0.54,0.54,0.535,0.0,,,,,0.009259259259259267,,-0.03703703703703707,,,,False,False,0.5397286187017766,0.5421362747422944,0.5434852863333136,-1.0,371393.0,,,,,,MACD,SIGNAL,18.0813631757768,,0.5362941275060491,0.5364613587199105,-0.2054381778273359,1.1195941993651426,,,,,,0.5416666666666666,,0.0,PPO,SIGNAL,HISTO
9,2015-04-15,0.54,0.55,0.54,0.54,0.54,925749,2015-04-15,0.0,0.54,0.55,0.54,0.018867924528301903,,,,,0.018518518518518535,,-0.03703703703703707,,,,False,False,0.5398378315896358,0.5416576251894419,0.5428745817354844,-1.0,-925749.0000000001,,,,,,MACD,SIGNAL,18.0813631757768,,0.5367530538028521,0.5376103199501792,-0.1959314581569251,1.0513223909022922,,,,,,0.5403333333333333,,0.0,PPO,SIGNAL,HISTO
