,Date,Open,High,Low,Close,Adj Close,Volume,datetime,adj,Adj Open,Adj High,Adj Low,movement,20_Day_moving_av,20_Day_stddev,126_Day_moving_av,momentum_factor,daily_spread,vol_change,Target-future_week_gain,Bollinger_upper,Bollinger_lower,_bollinger_linear_metric,_bollinger_buy_flag,_bollinger_sell_flag,Exp_mav_sh,Exp_mav_med,Exp_mav_lon,Exp_mav-signal,CMFV,CMFV-rolling,CMFV-signal,MACD,MACD-signal,_MACD_range,MACD_finta,MACD-signal_finta,rel_strength_ind,awesome_oscil,DEMA,TEMA,TRIX,TRIX-signal,TRIMA,VAMA,kaufman_eff,Kaufman_AMA,ZLEMA,WMA,HMA,EVWMA,PPO,PPO_signal,PPO_histo
0,2018-11-21,12.49,13.37,12.3,12.75,12.392522,8752527,2018-11-21,-0.3574780000000004,12.132522,13.012521999999999,11.942522,0.0,,,,,0.08634239261386815,,-0.00392147780734213,,,,False,False,12.392522,12.392522,12.392522,0.0,-1390588.4018691604,,,,,,MACD,SIGNAL,,,12.392522,12.392522,,,,,,,,,,0.0,PPO,SIGNAL,HISTO
1,2018-11-22,12.85,12.91,12.21,12.75,12.392522,5673815,2018-11-22,-0.3574780000000004,12.492522,12.552522,11.852522,-0.007009375561648668,,,,,0.0564856774109418,,-0.028235253485932803,,,,False,False,12.392522,12.392522,12.392522,0.0,3080070.999999995,,,,,,MACD,SIGNAL,,,12.392522,12.392522,0.0,,,,,,,,,0.0,PPO,SIGNAL,HISTO
2,2018-11-23,12.75,12.85,12.62,12.84,12.479999,5474121,2018-11-23,-0.36000100000000046,12.389999,12.489999,12.259998999999999,-0.02059497447464688,,,,,0.018429488656209064,,-0.08800625705178335,,,,False,False,12.43715312244898,12.428373229508194,12.425938511035655,2.0,4998110.47826088,,,,,,MACD,SIGNAL,100.0,,12.449531332168771,12.46201808127993,0.03493567815617591,1.8,,,,,,,,0.0,PPO,SIGNAL,HISTO
3,2018-11-26,12.84,13.3,12.72,13.11,12.742429,5085525,2018-11-26,-0.36757099999999987,12.472429,12.932429,12.352429,0.01706743244535414,,,,,0.045517224384769975,,-0.11365368408173981,,,,False,False,12.577445345588234,12.534760685636854,12.522761879441626,2.0,1753629.3103448055,,,,,,MACD,SIGNAL,100.0,,12.619099754321336,12.669134774627448,0.0926322160485069,1.8744500352490563,,,,,,,,0.0,PPO,SIGNAL,HISTO
4,2018-11-27,13.05,13.13,12.75,12.89,12.528598,6747945,2018-11-27,-0.361402,12.688598,12.768598,12.388598,0.014960638532719542,,,,,0.03033060842083055,,-0.10861135459849545,,,,False,False,12.55625895350451,12.532927425987625,12.524284514365522,2.0,-1775774.99999999,,,,,,MACD,SIGNAL,59.87729237102728,,12.590889622149469,12.607510005837437,0.09410443559531953,1.4577199439112745,,,,,,,,0.0,PPO,SIGNAL,HISTO
5,2018-11-28,12.12,12.74,12.06,12.7,12.343925,10082053,2018-11-28,-0.3560749999999988,11.763925,12.383925000000001,11.703925000000002,0.025020228163050273,,,,,0.055087826602964594,,-0.06929141257744194,,,,False,False,12.467168781015038,12.481697260213375,12.482552538264633,-1.0,8895929.117647031,,,,,,MACD,SIGNAL,43.60513081134369,,12.486604536072281,12.460045784601014,0.07136312781805647,1.0718257812447356,,,,,,,,0.0,PPO,SIGNAL,HISTO
6,2018-11-29,12.56,12.66,12.25,12.39,12.042616,8038728,2018-11-29,-0.3473839999999999,12.212616,12.312616,11.902616,0.05807006891161334,,,,,0.03404575882848047,,-0.02340596096396334,,,,False,False,12.292456852774633,12.370577506875497,12.389848581902163,-1.0,-2548864.9756097356,,,,,,MACD,SIGNAL,29.512710780656448,,12.291244573955392,12.20848587469717,0.032370136338254696,0.5648461393256152,,,,,,,,0.0,PPO,SIGNAL,HISTO
7,2018-11-30,12.02,12.17,11.71,11.71,11.381681,15507962,2018-11-30,-0.32831900000000047,11.691680999999999,11.841681,11.381681,0.007745210928967604,,,,,0.040415822583676264,,0.07600353585731315,,,,False,False,11.921922965203718,12.132927080070381,12.192665848318708,-1.0,-15507962.0,,,,,,MACD,SIGNAL,16.735801162321835,,11.89212078256053,11.706582276440205,-0.030534945044507777,-0.8705067507506533,,,,,,,,0.0,PPO,SIGNAL,HISTO
8,2018-12-03,11.53,11.64,11.26,11.62,11.294205,7041600,2018-12-03,-0.3257949999999994,11.204205,11.314205000000001,10.934205,0.011314174169602943,,,,,0.033645573105853914,,0.0748708740455835,,,,False,False,11.668279638786165,11.939178118652427,12.027238321119668,-1.0,6300378.947368372,,,,,,MACD,SIGNAL,15.763113152301841,,11.6050072803767,11.39053222096636,-0.09322410824377231,-21.96615813409068,,,,,,11.984298311111111,,0.0,PPO,SIGNAL,HISTO
9,2018-12-04,11.4,11.59,11.4,11.49,11.16785,10601215,2018-12-04,-0.3221500000000006,11.07785,11.26785,11.07785,-0.027918726716586958,,,,,0.017013122490004747,,0.08006957471670924,,,,False,False,11.466890057484948,11.766355844538445,11.876653161440835,-1.0,-557958.6842105159,,,,,,MACD,SIGNAL,14.45613742301218,,11.372958620233815,11.160582186920063,-0.15026208486184678,4.778160993480989,,,,,,11.782346155555555,,0.0,PPO,SIGNAL,HISTO
