,Date,Open,High,Low,Close,Adj Close,Volume,datetime,adj,Adj Open,Adj High,Adj Low,movement,20_Day_moving_av,20_Day_stddev,126_Day_moving_av,momentum_factor,daily_spread,vol_change,Target-future_week_gain,Bollinger_upper,Bollinger_lower,_bollinger_linear_metric,_bollinger_buy_flag,_bollinger_sell_flag,Exp_mav_sh,Exp_mav_med,Exp_mav_lon,Exp_mav-signal,CMFV,CMFV-rolling,CMFV-signal,MACD,MACD-signal,_MACD_range,MACD_finta,MACD-signal_finta,rel_strength_ind,awesome_oscil,DEMA,TEMA,TRIX,TRIX-signal,TRIMA,VAMA,kaufman_eff,Kaufman_AMA,ZLEMA,WMA,HMA,EVWMA,PPO,PPO_signal,PPO_histo
0,2015-11-26,3.25,3.42,3.245,3.4,3.148574,30544729,2015-11-26,-0.2514259999999999,2.998574,3.168574,2.993574,0.0,,,,,0.05558071685785369,,0.044117749813089926,,,,False,False,3.148574,3.148574,3.148574,0.0,23563076.657142844,,,,,,MACD,SIGNAL,,,3.148574,3.148574,,,,,,,,,,0.0,PPO,SIGNAL,HISTO
1,2015-11-27,3.38,3.47,3.26,3.4,3.148574,2223644,2015-11-27,-0.2514259999999999,3.128574,3.2185740000000003,3.008574,-0.008746188634456808,,,,,0.06669686022942463,,0.03235274127271587,,,,False,False,3.148574,3.148574,3.148574,0.0,741214.6666666635,,,,,,MACD,SIGNAL,,,3.148574,3.148574,0.0,,,,,,,,,0.0,PPO,SIGNAL,HISTO
2,2015-11-30,3.44,3.48,3.4,3.43,3.176355,501111,2015-11-30,-0.2536450000000001,3.186355,3.226355,3.146355,-0.0029071300495728185,,,,,0.025186101679440763,,0.026239195555912358,,,,False,False,3.1627479795918365,3.1599596557377048,3.1591864363327677,2.0,-125277.74999999722,,,,,,MACD,SIGNAL,100.0,,3.1666790591238914,3.1706446086632796,0.043664756313911764,1.8,,,,,,,,0.0,PPO,SIGNAL,HISTO
3,2015-12-01,3.41,3.45,3.39,3.44,3.185616,1083258,2015-12-01,-0.25438399999999994,3.155616,3.1956160000000002,3.135616,-0.008645676632648739,,,,,0.01883466180481265,,0.011627892376231165,,,,False,False,3.1732571801470586,3.1686508292682927,3.1672719854060913,2.0,722171.999999992,,,,,,MACD,SIGNAL,100.0,,3.178841021050659,3.1837582743197075,0.05926769273366021,1.5351798435328985,,,,,,,,0.0,PPO,SIGNAL,HISTO
4,2015-12-02,3.45,3.47,3.44,3.47,3.213398,624697,2015-12-02,-0.256602,3.193398,3.213398,3.183398,-0.022535180420759596,,,,,0.00933591170468154,,0.008645365435591874,,,,False,False,3.1906673206106873,3.1819621009043315,3.179306192036734,2.0,624697.0,,,,,,MACD,SIGNAL,100.0,,3.1984724102834683,3.206366917374352,0.07507379146419861,1.4731957636267718,,,,,,,,0.0,PPO,SIGNAL,HISTO
5,2015-12-03,3.47,3.58,3.47,3.55,3.287482,760380,2015-12-03,-0.26251800000000003,3.207482,3.317482,3.207482,0.01139630677579235,,,,,0.033460259250088636,,-0.014084639855062185,,,,False,False,3.231288409908701,3.210563860352156,3.2043361453968235,2.0,345627.2727272688,,,,,,MACD,SIGNAL,100.0,,3.243448050344504,3.261138355684536,0.10508494185907827,1.5670094899821674,,,,,,,,0.0,PPO,SIGNAL,HISTO
6,2015-12-04,3.5,3.54,3.48,3.51,3.250439,479609,2015-12-04,-0.2595609999999997,3.2404390000000003,3.2804390000000003,3.2204390000000003,-0.0028410589931588686,,,,,0.018459045070527414,,-0.002848845955884674,,,,False,False,3.2391692592904744,3.2206551944250985,3.2140509943570326,2.0,-3.5498196974496417e-09,,,,,,MACD,SIGNAL,76.53416455142589,,3.2527547598321207,3.265382063790333,0.11994011129368805,1.4735734851616578,,,,,,,,0.0,PPO,SIGNAL,HISTO
7,2015-12-07,3.55,3.6,3.45,3.52,3.2597,1137277,2015-12-07,-0.2603,3.2897,3.3397,3.1897,0.01149423860676498,,,,,0.046016504586311596,,-0.02840905604810253,,,,False,False,3.2475218469734215,3.230038395442479,3.2229792676715388,2.0,-75818.46666666846,,,,,,MACD,SIGNAL,77.92861178945944,,3.2615520730115026,3.2706997103991493,0.12780138291624507,1.3721648284422985,,,,,,,,0.0,PPO,SIGNAL,HISTO
8,2015-12-08,3.55,3.55,3.39,3.48,3.222658,190929,2015-12-08,-0.25734199999999996,3.292658,3.292658,3.132658,-0.005714278662178248,,,,,0.04964845788786762,,-0.02298847721352996,,,,False,False,3.2374750597162993,3.228333487480936,3.2229201148252336,2.0,23866.12500000007,,,,,,MACD,SIGNAL,62.04660680599165,,3.25125628342702,3.2516844258479995,0.12620733935866268,1.2485198495933063,,,,,,3.229860622222222,,0.0,PPO,SIGNAL,HISTO
9,2015-12-09,3.48,3.51,3.45,3.5,3.2411790000000003,539319,2015-12-09,-0.25882099999999975,3.2211790000000002,3.251179,3.1911790000000004,0.0,,,,,0.01851178228663076,,-0.028571393310890963,,,,False,False,3.238965648852284,3.2312116279661853,3.2261195033577854,2.0,359546.0000000027,,,,,,MACD,SIGNAL,65.79972836783145,,3.251231656894595,3.24931149185932,0.12256218214337979,1.1557370252566834,,,,,,3.236034288888889,,0.0,PPO,SIGNAL,HISTO
