,Date,Open,High,Low,Close,Adj Close,Volume,datetime,adj,Adj Open,Adj High,Adj Low,movement,20_Day_moving_av,20_Day_stddev,126_Day_moving_av,momentum_factor,daily_spread,vol_change,Target-future_week_gain,Bollinger_upper,Bollinger_lower,_bollinger_linear_metric,_bollinger_buy_flag,_bollinger_sell_flag,Exp_mav_sh,Exp_mav_med,Exp_mav_lon,Exp_mav-signal,CMFV,CMFV-rolling,CMFV-signal,MACD,MACD-signal,_MACD_range,MACD_finta,MACD-signal_finta,rel_strength_ind,awesome_oscil,DEMA,TEMA,TRIX,TRIX-signal,TRIMA,VAMA,kaufman_eff,Kaufman_AMA,ZLEMA,WMA,HMA,EVWMA,PPO,PPO_signal,PPO_histo
0,2011-12-05,1.7,1.83,1.7,1.74,1.067682,3743300.0,2011-12-05,-0.672318,1.027682,1.157682,1.027682,-0.011363446961629902,,,,,0.12175910055615821,,0.03448217727750394,,,,False,False,1.067682,1.067682,1.067682,0.0,-1439730.7692307692,,,,,,MACD,SIGNAL,,,1.067682,1.067682,,,,,,,,,,0.0,PPO,SIGNAL,HISTO
1,2011-12-06,1.75,1.82,1.75,1.76,1.079954,12593500.0,2011-12-06,-0.6800459999999999,1.069954,1.1399540000000001,1.069954,-0.01675950187643052,,,,,0.06481757556340367,,0.01704517044244475,,,,False,False,1.0753519999999999,1.0744997777777778,1.0742562857142857,2.0,-8995357.142857144,,,,,,MACD,SIGNAL,100.0,,1.077529901234568,1.0788766227709194,0.16604645413748814,1.0,,,,,,,,0.0,PPO,SIGNAL,HISTO
2,2011-12-07,1.76,1.79,1.76,1.79,1.098362,14150800.0,2011-12-07,-0.691638,1.068362,1.098362,1.068362,-0.011049544674483078,,,,,0.027313399407481346,,-0.00837975093821526,,,,False,False,1.0870917959183672,1.0842793770491803,1.0834647504244483,2.0,14150800.0,,,,,,MACD,SIGNAL,100.0,,1.0918392134133597,1.0953072730850753,0.20552744793710392,1.0933454444992994,,,,,,,,0.0,PPO,SIGNAL,HISTO
3,2011-12-08,1.8,1.84,1.78,1.81,1.110634,14219200.0,2011-12-08,-0.6993660000000002,1.100634,1.140634,1.0806339999999999,-0.005494416934552451,,,,,0.05402319756103276,,-0.03867340636069118,,,,False,False,1.0979108235294115,1.0932070948509485,1.0917765902828136,2.0,0.0,,,,,,MACD,SIGNAL,100.0,,1.104109434191033,1.1086128956707604,0.22259392578318965,1.1010440252798774,,,,,,,,0.0,PPO,SIGNAL,HISTO
4,2011-12-09,1.8,1.82,1.8,1.82,1.11677,7914000.0,2011-12-09,-0.70323,1.09677,1.11677,1.09677,0.011110930033372683,,,,,0.017908790529831582,,-0.054945064785049735,,,,False,False,1.1060905496183204,1.1002165264159924,1.0982973326358862,2.0,7914000.0,,,,,,MACD,SIGNAL,100.0,,1.112799950431209,1.1171447339269602,0.22633577991160592,1.0759769164026847,,,,,,,,0.0,PPO,SIGNAL,HISTO
5,2011-12-12,1.83,1.85,1.8,1.8,1.104498,9113000.0,2011-12-12,-0.6955020000000001,1.134498,1.154498,1.104498,0.005586500625476772,,,,,0.04526943462097717,,-0.05833328806389878,,,,False,False,1.1054223544575725,1.101377043802585,1.0997320565159048,2.0,-9113000.0,,,,,,MACD,SIGNAL,76.58617453100423,,1.111395612936144,1.1126930819337013,0.20971929220252863,0.9978791838261922,,,,,,,,0.0,PPO,SIGNAL,HISTO
6,2011-12-13,1.78,1.79,1.75,1.79,1.098362,278100.0,2011-12-13,-0.691638,1.088362,1.098362,1.058362,0.008450564564553526,,,,,0.036417865876641795,,-0.0502794160759386,,,,False,False,1.1025168779267298,1.1006140166502,1.0994433565593937,2.0,278100.0,,,,,,MACD,SIGNAL,68.01164424112177,,1.1075272278713308,1.1061768674107264,0.18599758485898613,0.9134799858004129,,,,,,,,0.0,PPO,SIGNAL,HISTO
7,2011-12-14,1.805,1.805,1.74,1.775,1.089158,2411472.0,2011-12-14,-0.6858419999999998,1.119158,1.119158,1.0541580000000002,0.020114603411877367,,,,,0.05967912828074526,,-0.03380317639864932,,,,False,False,1.0970820423887686,1.0978609204187162,1.0974316922699754,-1.0,185497.84615384234,,,,,,MACD,SIGNAL,57.595145130194595,,1.1010212815453713,1.0971444684525726,0.15881065531582964,0.8259528547402549,,,,,,,,0.0,PPO,SIGNAL,HISTO
8,2011-12-15,1.76,1.76,1.655,1.74,1.067682,3796109.0,2011-12-15,-0.672318,1.087682,1.087682,0.982682,0.01162866718021163,,,,,0.09834388891074307,,-0.017242025247217917,,,,False,False,1.0852023050518194,1.0908894400835967,1.0919540823815046,-1.0,2349972.2380952365,,,,,,MACD,SIGNAL,41.58922080946407,,1.0879587083193474,1.0802934380689164,0.12560364045003689,0.7126320605444678,,,,,,1.0930441333333334,,0.0,PPO,SIGNAL,HISTO
9,2011-12-16,1.71,1.74,1.71,1.72,1.055409,1809571.0,2011-12-16,-0.6645909999999999,1.045409,1.075409,1.045409,0.014749021459153319,,,,,0.028424999218312545,,-0.008720789760178482,,,,False,False,1.0732124851752052,1.0829397618681509,1.085550519602428,-1.0,-603190.3333333334,,,,,,MACD,SIGNAL,35.51502211754688,,1.07449719533084,1.0642725267625066,0.09014479906247852,0.5765146182536592,,,,,,1.0856125555555556,,0.0,PPO,SIGNAL,HISTO
10,2011-12-19,1.72,1.72,1.68,1.695,1.040069,1123672.0,2011-12-19,-0.6549310000000002,1.0650689999999998,1.0650689999999998,1.0250689999999998,-0.0029411285382457634,,,,,0.038458986855679805,,0.008849412875491906,,,,False,False,1.0599068185382834,1.0735598841321923,1.0779015014655244,-1.0,-280917.9999999938,,,,,,MACD,SIGNAL,29.680124531113833,,1.0596368888296068,1.0473679770546704,0.05332874874484036,0.40013668757605547,,,0.21951839986008376,,,1.0753857111111111,,0.0,PPO,SIGNAL,HISTO
11,2011-12-20,1.705,1.705,1.68,1.7,1.043137,3245311.0,2011-12-20,-0.656863,1.048137,1.048137,1.023137,-0.008746214392483036,,,,,0.0239661712699292,,0.01176451415298284,,,,False,False,1.0531842575710038,1.0670263245070934,1.0722517243685787,-1.0,1947186.5999999768,,,,,,MACD,SIGNAL,32.08344388097851,,1.0509629796630877,1.039648223376398,0.020040835895725966,0.18470637748096602,,,0.3157953424540039,,,1.0666588,,0.0,PPO,SIGNAL,HISTO
12,2011-12-21,1.705,1.735,1.695,1.715,1.052341,1743560.0,2011-12-21,-0.6626590000000001,1.042341,1.072341,1.032341,0.002923929234813124,,,,,0.03801049279653652,,0.0,,,,False,False,1.052846513425308,1.0639183996285648,1.0691076700983504,-1.0,0.0,,,,,,MACD,SIGNAL,38.83693830172769,,1.0488044366475235,1.040632735576484,-0.006873412682666133,-0.08209662110702859,,,0.4285767500768294,,1.037,1.060999911111111,,0.0,PPO,SIGNAL,HISTO
