,Date,Open,High,Low,Close,Adj Close,Volume,datetime,adj,Adj Open,Adj High,Adj Low,movement,20_Day_moving_av,20_Day_stddev,126_Day_moving_av,momentum_factor,daily_spread,vol_change,Target-future_week_gain,Bollinger_upper,Bollinger_lower,_bollinger_linear_metric,_bollinger_buy_flag,_bollinger_sell_flag,Exp_mav_sh,Exp_mav_med,Exp_mav_lon,Exp_mav-signal,CMFV,CMFV-rolling,CMFV-signal,MACD,MACD-signal,_MACD_range,MACD_finta,MACD-signal_finta,rel_strength_ind,awesome_oscil,DEMA,TEMA,TRIX,TRIX-signal,TRIMA,VAMA,kaufman_eff,Kaufman_AMA,ZLEMA,WMA,HMA,EVWMA,PPO,PPO_signal,PPO_histo
0,2016-04-11,3.41,3.89,3.41,3.89,3.861166,3373476,2016-04-11,-0.02883400000000025,3.381166,3.861166,3.381166,0.013020731531662928,,,,,0.12431477952514862,,0.0025707260449304957,,,,False,False,3.861166,3.861166,3.861166,0.0,3373476.0,,,,,,MACD,SIGNAL,,,3.861166,3.861166,,,,,,,,,,0.0,PPO,SIGNAL,HISTO
1,2016-04-12,4.0,4.05,3.74,3.84,3.811537,752563,2016-04-12,-0.028462999999999905,3.971537,4.021537,3.7115370000000003,-0.05185175050622151,,,,,0.08133201907786808,,0.028645661841928845,,,,False,False,3.8301478749999993,3.833594333333333,3.8345790357142855,-1.0,-267038.48387096956,,,,,,MACD,SIGNAL,0.0,,3.8213402592592587,3.8158940041152247,-0.18633887441202807,1.0,,,,,,,,0.0,PPO,SIGNAL,HISTO
2,2016-04-13,4.05,4.15,4.04,4.05,4.01998,2138748,2016-04-13,-0.03001999999999949,4.01998,4.119980000000001,4.0099800000000005,0.004962841189082,,,,,0.027363320215523537,,-0.02469141637520595,,,,False,False,3.9270009999999997,3.909981901639344,3.905402833616299,2.0,-1749884.7272727368,,,,,,MACD,SIGNAL,81.89423578014019,,3.947831176923766,3.9741861833454175,0.13210882729003323,-14.019105799225065,,,,,,,,0.0,PPO,SIGNAL,HISTO
3,2016-04-14,4.09,4.1,4.02,4.03,4.000128,771655,2016-04-14,-0.02987200000000012,4.060128,4.0701279999999995,3.9901279999999995,0.004987341333279082,,,,,0.019999360020479362,,0.002481170602540709,,,,False,False,3.960607158088235,3.940519197831978,3.934381934100798,2.0,-578741.2499999872,,,,,,MACD,SIGNAL,75.54851577078118,,3.985739586559354,4.008040869071451,0.20172750280479357,2.6159713158108273,,,,,,,,0.0,PPO,SIGNAL,HISTO
4,2016-04-15,4.04,4.05,4.01,4.01,3.980277,243624,2016-04-15,-0.029722999999999722,4.010277,4.020277,3.980277,0.028205219612450462,,,,,0.010049551827674313,,-0.002493796286037404,,,,False,False,3.969138491325469,3.9523462451213707,3.946355886570364,2.0,-243624.0,,,,,,MACD,SIGNAL,69.73002687050476,,3.9924233586676583,4.004477246730756,0.20581927189587632,1.7050267989869539,,,,,,,,0.0,PPO,SIGNAL,HISTO
5,2016-04-18,4.03,4.05,3.9,3.9,3.871092,748362,2016-04-18,-0.028907999999999934,4.001092,4.0210919999999994,3.871092,-0.012658130991723186,,,,,0.03874875616492697,,0.02564108525449666,,,,False,False,3.928000563641246,3.930321827044844,3.928941165053377,-1.0,-748362.0,,,,,,MACD,SIGNAL,47.885122467700484,,3.943481238331848,3.93264634419491,0.16787712638475707,1.2459022725582982,,,,,,,,0.0,PPO,SIGNAL,HISTO
6,2016-04-19,3.99,4.0,3.87,3.95,3.920721,271552,2016-04-19,-0.029279000000000277,3.960721,3.9707209999999997,3.840721,0.0,,,,,0.03315716675580841,,0.015190063256222559,,,,False,False,3.925004878163765,3.927892113846553,3.9272090019886616,-1.0,62665.84615384672,,,,,,MACD,SIGNAL,54.81439505722824,,3.935906411591311,3.9239705175479167,0.1376056227915885,1.0153955320504202,,,,,,,,0.0,PPO,SIGNAL,HISTO
7,2016-04-20,4.0,4.03,3.95,3.95,3.920721,169215,2016-04-20,-0.029279000000000277,3.9707209999999997,4.000721,3.920721,-0.022277012298839986,,,,,0.02040441031126686,,0.017721485410464078,,,,False,False,3.9232620541472256,3.9261687603364,3.9259400443365964,-1.0,-169215.0,,,,,,MACD,SIGNAL,54.81439505722824,,3.930947872370197,3.9194226883730323,0.1140309510021577,0.8766141447741572,,,,,,,,0.0,PPO,SIGNAL,HISTO
8,2016-04-21,4.0,4.04,3.98,4.04,4.010053,207837,2016-04-21,-0.029946999999999946,3.970053,4.010053,3.950053,0.00999961968098038,,,,,0.01496239575885906,,0.0,,,,False,False,3.958331855282962,3.945546435850551,3.941427194708077,2.0,207837.0,,,,,,MACD,SIGNAL,64.63150057119233,,3.9641228856324817,3.9658701605947644,0.10503002125700374,0.8466007085247168,,,,,,3.946087133333333,,0.0,PPO,SIGNAL,HISTO
9,2016-04-22,4.01,4.02,3.99,4.0,3.970351,154987,2016-04-22,-0.029649000000000036,3.9803509999999998,3.9903509999999995,3.960351,0.0,,,,,0.007556007012981814,,0.024999804803152125,,,,False,False,3.963168760083474,3.9511040981230012,3.946495329486461,2.0,-51662.33333333333,,,,,,MACD,SIGNAL,58.543787374862724,,3.9698307680939187,3.9713031141818615,0.09845728685125982,0.833350460463378,,,,,,3.953586777777778,,0.0,PPO,SIGNAL,HISTO
